שם רשות מקומית,אשכול
שחר,4
תירוש,5
"ניר ח""ן",4
חצבה,2
נועם,4
בית ניר,4
שדה משה,5
באר אורה,1
אמציה,4
לכיש,4
ראש פינה,3
שדות מיכה,5
מזכרת בתיה,6
יסוד המעלה,2
אופקים,3
עוצם,5
בת שלמה,5
גדות,2
שדה דוד,4
איתן,4
גפן,5
אליכין,6
מטולה,2
זוהר,4
יבנאל,3
כפר תבור,4
מנחמיה,3
אילנייה,4
לוזית,4
עתלית,4
נוגה,5
כנרת (קבוצה),3
מצפה,3
נחושה,4
דגניה א',3
כנרת (מושבה),3
"יד רמב""ם",7
מגדל,3
מרחביה (קיבוץ),4
אור הנר,4
ניר עוז,3
אשדוד,7
אשבול,3
גן שמואל,5
עין הוד,4
כפר גלעדי,2
איילת השחר,2
קריית ענבים,6
דגניה ב',3
נהלל,4
עין חרוד (מאוחד),3
תל יוסף,3
כפר יחזקאל,3
גבע,3
כרם בן שמן,7
עין חרוד (איחוד),3
חפצי-בה,3
גיניגר,4
בלפוריה,5
בית אלפא,3
יגור,5
מרחביה (מושב),4
"כפר מל""ל",8
מצפה רמון,2
מאיר שפיה,5
תל עדשים,4
מזרע,4
כפר גדעון,5
כפר סילבר,5
כפר חסידים א',5
אדירים,4
חופית,5
רמת ישי,5
שריד,4
רמת רחל,7
גת רימון,9
משמר העמק,4
כפר ברוך,4
גבת,4
יפעת,4
רמת דוד,4
עין שמר,5
כפר יהושע,4
ברק,4
שדה יעקב,5
בית זרע,3
גן שלמה,7
גדיש,4
דבורה,4
גבעת ברנר,7
תל מונד,6
באר טוביה,5
עיינות,7
עין ורד,6
נען,7
בית חנן,8
חולדה,6
חירות,6
תימורים,5
מלאה,4
ניר יפה,4
גן יבנה,6
עין החורש,5
כפר יונה,6
כפר יעבץ,5
פרדסייה,6
גבעת חיים (מאוחד),5
נטעים,8
אביחיל,6
אפיקים,3
"כפר ביל""ו",7
רמת יוחנן,5
אבן יהודה,7
ירקונה,8
רמת הכובש,6
נעורים,5
כפר הס,6
אשדות יעקב (מאוחד),3
כפר פינס,5
כפר ויתקין,6
הדר עם,6
כפר החורש,4
כפר חיים,6
משמר השרון,6
קדימה-צורן,6
גיבתון,7
מעברות,6
צופית,7
אשדות יעקב (איחוד),3
בית ינאי,5
בית עובד,7
אלישיב,6
חגלה,5
רמות השבים,8
"גבעת ח""ן",8
מוצא עילית,6
בית צבי,4
משמרות,5
"כפר הרא""ה",6
גני עם,8
חיבת ציון,6
כפר ביאליק,5
עין עירון,5
שושנת העמקים,6
גן השומרון,5
גני תקווה,9
מעש,9
שפיים,7
כפר ידידיה,6
ביצרון,6
חבצלת השרון,6
שער העמקים,5
גן חיים,7
יקנעם עילית,5
יקנעם (מושבה),5
בית השיטה,3
נתיבות,4
רשפון,7
בית שערים,4
כפר סירקין,8
הזורע,4
ביתן אהרן,6
חולתה,2
כפר המכבי,5
כפר חיטים,3
ניר דוד (תל עמל),3
נופך,7
שדה נחום,3
גינוסר,3
מסדה,3
שער הגולן,3
בית יוסף,3
כפר שמריהו,7
טירת צבי,3
מולדת,3
עין השופט,4
מעוז חיים,3
עין גב,3
כפר מנחם,5
צור משה,6
אושה,5
חניתה,3
פקיעין חדשה,3
שבי ציון,4
שדה ורבורג,7
אלונים,5
מעלה החמישה,5
תל יצחק,6
בית יהושע,6
עין המפרץ,4
מעיין צבי,5
שרונה,3
שדה יואב,5
אילון,3
כפר רופין,3
נווה איתן,3
כפר מסריק,4
מסילות,3
דלייה,4
בית עוזיאל,6
דפנה,2
דן,2
שדה אליהו,3
גשר,3
שדמות דבורה,3
הזורעים,3
מחניים,3
נהורה,4
כפר גליקסון,5
גן שורק,7
נווה ים,4
אפק,5
נגבה,5
כפר נטר,7
בית אורן,4
עמיעוז,3
עמיר,2
כפר ורבורג,5
בית הלל,2
שאר ישוב,2
מצובה,3
בית יצחק-שער חפר,6
שדות ים,5
עזוז,2
שדה נחמיה,2
אלומות,3
ניר צבי,8
קבוצת יבנה,6
רמת השופט,4
דורות,4
איבים,4
רמת צבי,3
גת (קיבוץ),5
גברעם,4
חמדיה,3
מענית,5
כפר סאלד,2
גליל ים,8
מנרה,2
ניר עם,4
ניצן,5
גבולות,3
בית זיד,5
רביבים,2
חורשים,7
הגושרים,2
כפר בלום,2
יד מרדכי,4
ניצנים,5
"גבעת ניל""י",5
רוחמה,3
חפץ חיים,6
כפר אוריה,5
בית קשת,3
שמיר,2
עין העמק,5
בירייה,3
גלעד (אבן יצחק),4
גזר,6
כדורי,3
רמות נפתלי,2
בית הלוי,6
חוקוק,3
מגל,5
עברון,4
המעפיל,5
משגב עם,2
גאולים,6
להבות הבשן,2
מכמורת,5
"עין הנצי""ב",3
עמיעד,3
בני דרור,7
כפר מונש,6
כפר קיש,3
בצרה,7
רגבה,4
קדמה,5
גלאון,5
שובל,4
משמר הנגב,4
נבטים,3
חצרים,3
שרשרת,4
בארי,3
אבן שמואל,4
ניר יצחק,3
אורים,3
נווה אילן,5
חצור-אשדוד,5
דברת,4
נאות מרדכי,2
יחיעם,3
קריית שלמה,6
צאלים,3
קלחים,3
שוקדה,3
מעיין ברוך,2
יקום,6
בני ציון,7
סעד,4
משאבי שדה,3
חרב לאת,6
העוגן,6
גבים,4
משמרת,6
עין כרמל,4
כפר גלים,5
ברור חיל,4
אלוני אבא,4
בית לחם הגלילית,4
דלתון,3
שמרת,4
נחשולים,5
החותרים,5
נצר סרני,8
עין דור,3
רשפים,3
שלוחות,3
יסודות,5
גדעונה,3
כפר הנשיא,3
רגבים,5
רמות מנשה,4
אודים,6
נורדייה,6
בני עטרות,8
נחלים,8
בארות יצחק,8
יזרעאל,4
יפתח,2
סער,3
שורש,5
גזית,3
רמת רזיאל,5
טל שחר,6
געתון,3
הראל,5
צובה,5
בית דגן,8
קריית עקרון,7
אבו גוש,6
אבו סנאן,4
דחי,4
אכסאל,4
בית ג'ן,3
מגאר,3
בועיינה-נוג'ידאת,3
ג'ולס,4
ג'ש (גוש חלב),3
דבורייה,4
דייר חנא,3
דייר ראפאת,5
דאלית אל-כרמל,4
חורפיש,3
טייבה (בעמק),3
טורעאן,4
יפיע,5
ירכא,4
כאבול,4
כאוכב אבו אל-היג'א,4
כפר יאסיף,4
כפר כמא,3
כפר כנא,4
כפר מנדא,4
עילוט,5
כפר מצר,3
עין ראפה,5
מג'ד אל-כרום,4
מזרעה,4
מעיליא,3
משהד,5
עין נקובא,6
נחף,3
ניין,4
נאעורה,3
סאג'ור,3
סולם,4
שזור,3
עוזייר,4
אעבלין,5
עיילבון,3
עראבה,4
עין מאהל,4
פסוטה,3
פקיעין (בוקייעה),3
פוריידיס,5
שעב,3
רומאנה,4
ריחאנייה,2
ג'סר א-זרקא,5
ריינה,5
ראמה,3
עין אל-אסד,3
טמרה (יזרעאל),3
גנות הדר,7
ניר בנים,5
שדמה,6
בוסתן הגליל,4
בית אלעזרי,6
משמר דוד,6
רבדים,5
אזור,9
גבעת שמש,5
צרעה,5
מעונה,3
בית גמליאל,6
בית העמק,4
מבקיעים,5
גשר הזיו,3
יסעור,4
כברי,3
יד בנימין,6
סאסא,3
